X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8578092.92969257,4712444.94724008,11067732_21025152,11067732,328.51599121,ORDWAY ST NW & CONNECTICUT AVE NW Service Rd,13,ff7a02967b8771470f8583241da77090,6077,,4372763
-8572444.32470111,4706447.3643375,12019822_12028662_58010262,12028662,184.85600281,DELAWARE AVE NE & C ST NE & Driveway-58010262,13,e1e2a18ed6e9d08b966463dec03a1472,2166,,4372774
-8571040.25342725,4705900.5986972,12000802_13000802_15031912,13000802,0,8TH ST SE & 8TH ST NE & EAST CAPITOL ST BN,13,293fa262e9e60d2aae887a488cef3ad3,4065,,4372777
-8564487.02778602,4703563.3270312,13004432_13075662,13075662,2395.35302734,RIDGE RD SE & 44TH PL SE,13,f3c83b84db04390d9bca2bbcbb3eefc8,4149a,,4372785
-8581193.70973378,4712738.16155253,11063762_11090702*1,11063762,1123.33398438,NEBRASKA AVE NW & WARD CIR NW,13,b99df8c28614c2005b59b74c7e133275,6157,,4372808
-8580470.29422538,4714213.88009636,11009492_11094052,11009492,2347.75708008,ALBEMARLE ST NW & WISCONSIN AVE NW,13,fe95b644f0cbdfef91948d510c084a4d,6130,,4372818
-8574493.48943372,4708165.92410995,11001002_11057852,11001002,1505.59802246,10TH ST NW & M ST NW,13,de37d14cb54cc657a2cc62fcf07f38c2,2094,,4372820
-8571490.17967052,4704412.50985829,13000602_36000672_36000702,36000702,18.57099915,Ramp-36000702 & 6TH ST SE & Ramp-36000672,13,ac31a5c15e8ad9b1260ece84c0e47005,4015,,4372837
-8571428.02801497,4705900.96059589,12000602_13000602_15031912,13000602,0,6TH ST SE & EAST CAPITOL ST BN & 6TH ST NE,13,2772c72748d74f9c8a16e23120ff37a6,4064,,4372838
-8571041.65476645,4704679.59407873,13000802_13038612,13000802,947.79199219,8TH ST SE & G ST SE,13,b2e293040e4f3853799e58a0c0f53311,4025,,4372839
-8584022.99820093,4712465.05309175,11057002_11057912_11065712,11065712,0,NORTON ST NW & LOUGHBORO RD NW & MACARTHUR BLVD NW,13,5371145f02d22730f734db40b26b223b,6097,,4372841
